uid,psychopathy,machiavellianism,narcissism,openness,conscientiousness,extraversion,agreeableness,neuroticism,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
17,2.333333333,2.9,2.888888889,5,4.5,4,5,1.5,23.95,0,0,0,0,0,3,8,13,1.55036855,407,631,63,0,2.029383778,2.167317335,2.800029359,631,16,0,2,11.51,20.89,68.02,39.68,8.39,5.51,3.38,0.28,1.27,0.17,0.42,2.89,5.48,9.94,6.03,2.11,6.27,0.85,3.57,11.33,3.58,1.09,2.45,2.48,0.26,5.38,0.15,0.18,0.48,6.24,4.2,2.01,0.34,0.76,0.32,12.59,1.65,1.47,1.29,2.25,0.77,0.81,3.17,2.11,2.16,0.93,0.55,0.53,2.08,0.39,0.29,0.27,1.17,12.57,1.75,5.98,4.71,1.79,1.4,2.54,0.56,1.13,0.24,0.26,0.65,0.1,0.28,10.18,2.13,2.51,0.3,1.34,1.44,1.28,0.98,1.82,0.43,8.22,31.09
18,1.555555556,3.2,3.444444444,6.5,2,6,4,5,41.73,0,0,0,0,7,47,170,32,3.939553219,761,2998,149,0,3.350054094,2.809559715,3.475671188,2990,78,0,156,13.24,20.67,66.75,39.85,10.46,6.39,3.57,0.5,1.83,0.18,0.31,4.07,4.79,11.8,7.38,1.83,8.19,0.81,4,10.23,3.22,1.4,1.78,2.14,0.08,6.72,0.11,0.16,0.49,6.77,5.18,1.57,0.22,0.46,0.31,12.25,1.92,1.56,1.38,1.93,1.1,1.15,2.11,2.08,2.21,0.92,0.69,0.46,1.19,0.33,0.18,0.19,0.51,11.09,1.48,5,4.77,2.08,1.38,1.44,0.26,0.77,0.12,0.12,1.08,0.1,0.33,7.55,2.62,4.06,0.95,1.88,3.2,1.29,1.66,2.64,0.52,15.09,42.57
19,1.333333333,1.8,2.888888889,7,6.5,6.5,5.5,2.5,30.22,0,0,0,7,34,114,193,59,10.19873817,317,3233,160,1,3.263636069,3.195068996,4.105714511,12756,778,0,142,11.29,22.38,67.57,38.93,10.21,6.7,3.45,0.51,1.88,0.56,0.31,3.51,4.13,12.16,7.58,2.26,7.92,1.03,3.46,10.48,3.14,1.45,1.81,2.1,0.1,7.02,0.18,0.17,0.53,6.31,5.02,1.26,0.21,0.35,0.31,11.03,1.67,1.24,1.4,2.01,0.98,0.41,2.41,1.85,2.13,0.94,0.58,0.49,2.44,1.16,0.34,0.31,0.66,13.02,1.7,6.15,5.34,2.3,1.58,1.8,0.45,0.72,0.18,0.09,0.78,0.15,0.18,9.42,3.17,3.8,0.44,1.61,2.89,1.38,0.27,3.24,0.89,15.79,44.31
20,3.555555556,2.8,3.555555556,3,5.5,3.5,2.5,2,13.89,0,0,0,0,0,10,111,14,2.596743295,1044,2711,55,0,2.624282096,2.195899652,3.433289685,2712,1897,0,24,15.08,21.71,69.89,39.95,9.54,5.92,3.18,0.41,1.54,0.4,0.39,3.62,5.72,10.11,6.18,2.35,6.47,0.64,3.86,10.85,3.38,1.58,2.23,2.43,0.34,6.93,0.16,0.16,0.75,5.51,3.38,2.09,0.21,0.83,0.39,11.11,1.57,1.27,0.9,1.81,0.95,0.44,2.62,1.95,2.51,1.16,0.75,0.46,1.66,0.59,0.45,0.27,0.47,13.11,1.38,5.57,6.02,2.37,1.7,2.51,0.59,1.05,0.32,0.14,0.55,0.25,0.19,9.09,3.55,4.02,0.16,1.22,1.23,2.01,3.14,3.07,1.77,7.99,39.43
21,1.111111111,2.7,3.222222222,7,5.5,5,5,4,64.63,3,10,19,34,53,61,65,166,44.10958904,73,3220,155,0,3.832508913,2.957128198,4.80762296,64213,380,0,402,13.13,21.36,73.66,46.83,13.66,8.2,4.55,0.33,2.15,0.73,0.44,5.46,5.42,14.1,9.23,2.02,10.05,0.96,4.68,10.03,4.39,2.21,2.51,1.29,0.28,7.06,0.15,0.16,0.62,7.6,5.37,2.18,0.38,0.71,0.37,13.34,1.95,1.27,1.56,2.36,1.28,0.49,2.79,2.56,1.82,0.89,0.46,0.38,1.57,0.49,0.4,0.41,0.32,9.5,1.16,4.78,3.55,1.87,1.27,1.09,0.31,0.76,0.23,0.16,1.52,0.3,0.17,7.12,4.15,1.23,0.56,1.26,1.67,0.96,0.35,3.95,0.22,12.98,35.27
22,1.777777778,3.2,1.888888889,6,4.5,2.5,3,2.5,26.32,0,0,0,0,0,3,19,19,1.979020979,715,1415,24,0,2.255272505,2.10720997,3.148294097,1407,9,0,20,12.79,19.44,69.96,43.04,9.1,5.33,2.9,0.22,1.28,0.45,0.47,3.78,6.28,11.07,6.98,2.21,7.13,0.86,3.84,11.6,4.35,1.91,2.26,1.69,0.11,5.68,0.16,0.18,0.67,4.32,2.93,1.35,0.24,0.45,0.24,12.69,1.71,1.05,1.27,2.34,1.07,0.49,3.14,2.57,2.37,0.91,0.63,0.65,1.84,0.46,0.33,0.13,1,14.07,1.74,6.53,5.99,1.53,1.32,1.45,0.74,0.87,0.48,0.14,0.53,0.1,0.31,9.74,3.95,2.69,0.06,1.05,0.73,1.36,1.18,2.89,0.36,8.06,32.44
23,2.555555556,2.8,3.444444444,6.5,4,6,4,5.5,59.83,0,4,15,40,59,75,74,96,42.31578947,76,3216,57,1,3.728434951,2.482873584,4.523291129,33365,26,0,453,40.97,20.66,62.49,38.87,10.56,6.49,3.92,0.35,1.43,0.25,0.54,4.07,4.48,11.78,7.6,1.8,8.45,0.71,3.25,8.8,3.77,1.98,1.93,1.93,0.14,5.89,0.09,0.09,0.33,5.05,3.58,1.46,0.17,0.47,0.28,12.11,1.85,1.53,1.38,1.88,1.02,0.43,2.37,2.66,1.67,0.8,0.38,0.34,0.88,0.3,0.16,0.26,0.23,8.89,1.06,4.26,3.69,2,1.55,1.61,0.67,0.76,0.09,0.09,0.62,0.12,0.25,11.23,2.18,4.2,0.57,1.27,0.36,1.15,0.84,3.24,0.79,17.48,44.45
24,1.333333333,2.5,3,6.5,6.5,6,7,2.5,,,,,,,,,,,,,33,1,0.903089987,1.799340549,3.27485032,1883,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.777777778,2.4,3.222222222,6.5,5.5,6,4,1,49.29,0,0,0,0,1,4,23,23,2.319711538,416,965,83,1,2.127104798,1.897627091,2.985426474,967,3,0,7,30.39,19.04,62.73,38.55,9.71,6.06,3.13,0.34,1.89,0.37,0.33,3.66,4.92,10.9,6.63,1.84,7.57,0.75,4.51,8.61,3.68,1.26,2.07,1.86,0.28,6.11,0.07,0.1,0.62,5.69,3.97,1.69,0.32,0.6,0.31,11.76,1.57,1.44,1.22,2.3,1.14,0.27,2.6,2.42,2.07,0.88,0.6,0.46,1.08,0.31,0.24,0.33,0.22,10.84,1.51,4.41,5.06,2.01,1.48,1.68,0.28,0.52,0.24,0.16,0.72,0.1,0.2,6.2,2.82,6.21,0.81,1.55,2.67,1.32,0.76,2.29,0.87,16.56,43.87
26,2.111111111,4,1.555555556,3.5,5.5,3,3.5,5,,,,,,,,,,,,,0,0,0.698970004,1.531478917,2.825426118,669,42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,3.1,2.444444444,5,4.5,2,3.5,5.5,10.37,0,0,0,0,0,2,0,4,1.182926829,82,97,0,1,2.045322979,2.045322979,1.995635195,99,4,0,0,13.17,19.66,58.03,42.77,8.39,5.2,4.48,0.16,0.56,0,0,3.2,6.79,7.11,5.28,0.56,5.6,0.48,5.12,12.07,3.2,1.04,1.28,4.48,0,2.16,0,0.08,0.08,3.12,2.64,0.48,0,0,0.08,9.83,0.96,0.8,0.8,1.92,0.32,0.32,0.8,4.72,0.72,0.48,0.08,0.08,1.04,0,0,0,1.04,10.07,0.96,6.08,2.96,1.52,1.44,2.32,0.48,0.4,0.08,0,0.16,0,0.08,9.11,0.64,4.16,0,3.44,3.6,0.88,3.52,0.8,0.72,20.46,48.04
28,1.555555556,2.7,2.555555556,5.5,5,2,4.5,5.5,32.41,0,0,0,0,1,16,118,39,3.027102804,1070,3239,47,0,2.025305865,2.352182518,3.516535374,3285,55,0,8,11.15,19.16,77.11,49.77,15.16,10.06,5.67,0.44,2.7,0.7,0.54,5.1,5.61,14.94,9.81,2.88,9.87,1.08,4.6,10.52,4.15,1.95,2.19,1.75,0.39,8.35,0.19,0.17,0.76,6.23,3.66,2.54,0.34,0.97,0.41,13.04,1.87,1.33,1.56,2.39,1.3,0.59,2.58,2.47,2.41,0.9,0.77,0.5,2.38,0.97,0.5,0.38,0.59,11.78,1.66,5.08,5.16,1.25,1.29,1.74,0.47,0.58,0.31,0.18,0.6,0.16,0.32,9.46,4.26,3.22,0.28,1.91,1.66,1.12,1.1,4.26,0.42,7.34,35.52
29,1.777777778,1.9,3.111111111,6,6,4.5,4.5,2.5,10.28,0,0,0,0,0,2,1,6,1.35,60,81,0,0,1.146128036,1.447158031,1.908485019,81,1,0,0,12.54,22.81,27.75,14.94,4.16,2.7,1.35,0.11,1.01,0,0.22,1.46,2.58,3.26,2.13,0.22,2.58,0.34,0.79,3.93,1.35,0.45,0.34,2.02,0.11,3.15,0.22,0,0.79,3.26,1.35,1.91,0.56,0.79,0.34,3.93,0.67,0.9,0.22,0.45,0.67,0.22,0.34,0.34,0.56,0.22,0.11,0.22,1.46,0.22,0.11,0.79,0.45,3.71,0.67,1.46,1.57,0.9,0.67,1.24,0.11,0.34,0.9,0.34,0.45,0,0.11,12.47,1.35,4.38,0,1.12,1.35,1.01,1.01,0.79,0,11.46,34.94
30,2.888888889,2.7,4.222222222,7,7,6.5,4.5,5,54.8,0,0,0,1,10,114,235,45,7.129175947,449,3201,116,1,3.682596291,3.651471852,4.212773374,16322,343,0,331,24.74,20.77,58.17,32.65,7.47,4.23,1.67,0.41,1.5,0.17,0.48,3.24,4.6,9.2,5.37,1.67,6.31,0.61,3.19,9.18,2.59,0.86,1.7,1.76,0.1,6.15,0.09,0.21,0.49,6.38,4.95,1.39,0.16,0.47,0.26,9.45,1.39,1.63,0.9,1.31,0.86,0.31,2.21,1.23,1.9,0.84,0.43,0.44,1.67,0.4,0.28,0.4,0.62,9.87,1.28,4.37,4.27,1.83,1.54,1.78,0.21,1.02,0.28,0.12,1.1,0.06,0.24,6.77,1.25,6.97,0.2,0.86,1.41,1.95,0.67,1.74,0.83,19.61,43.4
31,1.888888889,3.2,3.444444444,7,4,5,5.5,3,57.77,0,3,5,25,66,97,108,94,24.78461538,130,3222,137,1,3.177824972,2.784617293,4.077513251,11954,332,0,68,8.89,25.11,62.59,37.91,8.99,5.43,3.22,0.42,1.15,0.35,0.28,3.56,4.42,10.44,6.84,2.08,6.32,1.09,3.74,8.75,3.91,1.6,2.21,1.73,0.15,5.93,0.18,0.15,0.55,5.12,3.87,1.22,0.14,0.46,0.23,11.3,1.64,1.29,1.34,2.03,1.08,0.26,2.42,1.95,1.78,0.62,0.68,0.29,1.5,0.5,0.27,0.22,0.57,9.91,1.31,4.53,4.07,1.69,1.51,1.71,0.22,0.69,0.31,0.09,1.23,0.51,0.2,12.38,3.05,3.18,0.04,1.53,0.81,0.99,0.45,1.91,0.42,18.43,43.69
32,1.666666667,3.2,2.222222222,4.5,6.5,1,4.5,6.5,36.16,,,,,,,,,,,,63,0,1.653212514,2.369215857,4.406761529,25513,75,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.666666667,3.7,1.777777778,5,2.5,1.5,1.5,3,30.06,0,0,0,0,2,51,130,26,4.883610451,421,2056,0,0,2.120573931,2.411619706,3.312177356,2052,398,0,2,9.33,19.74,73.69,47.79,13.01,7.53,3.34,0.43,2.05,1.07,0.63,5.48,5.35,14.11,9.12,2.65,9.25,0.87,4.66,10.54,4.35,2.54,2.81,1.78,0.39,8.45,0.21,0.22,0.95,5.34,3.29,2.01,0.2,0.85,0.41,13.82,1.87,1.41,1.54,2.59,1.61,0.48,2.63,2.77,2.09,0.92,0.54,0.5,1.97,0.67,0.38,0.4,0.59,11.35,1.55,4.86,5.04,1.3,1.13,1.7,0.38,0.76,0.3,0.22,0.53,0.17,0.33,10.77,3.77,2.4,0.13,1.9,0.69,0.96,0.83,4.01,0.1,8.56,34.22
34,2.777777778,4.3,3.222222222,5,6,2.5,2.5,1.5,36.22,0,0,0,0,5,89,270,28,7.177130045,446,3201,99,0,1.977723605,1.929418926,3.951434666,8942,0,0,11,15.35,17.2,71.57,43.45,11.08,6.31,3.31,0.52,1.32,0.43,0.73,4.77,5.11,12.34,8.31,2.35,8.09,0.93,4.59,9.35,3.51,1.9,2.92,3.63,0.28,5.95,0.05,0.05,0.69,5.84,4.25,1.58,0.18,0.54,0.37,12.22,1.61,1.29,1.27,2.68,1.69,0.42,2.33,2.08,2.54,0.97,0.82,0.53,1.91,0.6,0.32,0.24,0.83,11.86,1.38,5.33,5.31,1.59,1.75,3.02,0.45,0.87,0.56,0.12,1.55,0.35,0.35,14.14,3.45,2.69,0.67,1.93,2.75,0.59,1.19,3.01,1.39,12.21,45.37
